FehlerKat.;Techn. Platz;Tech.Identnr.;Beschreibung;Verantw.ArbPl.;Meldungsdatum;Meldungszeit;StörBeginn;StörungsBegZt;Störungsende;StörungsEndZt;Meldung;Auftrag;Aktionenbezeichnung;Aktionstext;Codierung Text;Fehlerart Gruppe;Fehlerart Code;Fehlerart Text;Ursache Gruppe;Ursache Code;Ursache Text
C;01-0340-2-001-01;W1003;Weiche1003 gestochen;A474;18.12.2018;05:54:36;18.12.2018;06:37:23;;00:00:00;2269265;215915;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0902-2-001-01;W3002;W3002 dauernd W-Block belegt;A474;18.12.2018;17:13:37;19.12.2018;06:40:27;;00:00:00;2269333;215916;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
X;03-0101-091-14;TOR9101;Jahreswartung Torbrücke Gleis 0;A474;17.12.2018;12:18:52;;00:00:00;;00:00:00;2269134;215887;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9102;Jahreswartung Torbrücke Gleis 1;A474;17.12.2018;12:19:32;;00:00:00;;00:00:00;2269135;215888;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9103;Jahreswartung Torbrücke Gleis 2;A474;17.12.2018;12:19:59;;00:00:00;;00:00:00;2269136;215889;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9104;Jahreswartung Torbrücke Gleis 3;A474;17.12.2018;12:20:26;;00:00:00;;00:00:00;2269137;215890;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9105;Jahreswartung Torbrücke Gleis 4;A474;17.12.2018;12:20:56;;00:00:00;;00:00:00;2269138;215891;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9106;Jahreswartung Torbrücke Gleis 5;A474;17.12.2018;12:21:23;;00:00:00;;00:00:00;2269139;215892;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;03-0101-091-14;TOR9107;DEig Tor 6 kommt nicht runter;A474;17.12.2018;16:25:57;12.11.2018;06:00:00;12.11.2018;07:00:00;2269213;215911;Gewartet;Torbrücke;;5;16;kein Fehler;;;
X;03-0101-091-14;TOR9107;Jahreswartung Torbrücke Gleis 6;A474;17.12.2018;12:21:49;;00:00:00;;00:00:00;2269140;215893;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9108;Jahreswartung Torbrücke Gleis 7;A474;17.12.2018;12:22:18;;00:00:00;;00:00:00;2269141;215894;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9109;Jahreswartung Torbrücke Gleis 8;A474;17.12.2018;12:22:46;;00:00:00;;00:00:00;2269142;215895;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9110;Jahreswartung Torbrücke Gleis 9;A474;17.12.2018;12:23:16;;00:00:00;;00:00:00;2269143;215896;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-14;TOR9111;Jahreswartung Torbrücke Gleis 10;A474;17.12.2018;12:23:45;;00:00:00;;00:00:00;2269144;215897;Gewartet;Torbrücke;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-9000-2-001-01;HNSA502/1;DBo Steuerbereich 1 draussen;A474;17.12.2018;05:50:51;15.12.2018;16:00:00;15.12.2018;21:00:00;2269058;215867;Gewartet;Weichensteuerung;;5;16;kein Fehler;;;
C;01-9001-2-001-01;W5001;W5001 Endlagenverlust;A474;17.12.2018;16:40:25;14.11.2018;14:00:00;14.11.2018;15:00:00;2269215;215912;Gewartet;Weiche5000 Weichenantrieb;;5;16;kein Fehler;;;
C;01-0340-2-001-01;W1009;W1009 - Licht schwarz;A474;16.12.2018;05:50:25;17.12.2018;06:49:22;;00:00:00;2269052;215917;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0341-2-001-01;W0274;Weichen Nr. 274. De Mio avisiert;A474;13.12.2018;05:17:27;13.12.2018;06:31:54;;00:00:00;2268810;215866;;;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;03-0101-004-01-1;;Ast auf der Oberleitung;A474;12.12.2018;06:30:45;12.12.2018;06:39:58;;00:00:00;2268723;215857;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;01-0340-2-001-01;W1014;Weiche Bundesgasse - Schwanengasse;A474;12.12.2018;11:44:47;12.12.2018;12:04:15;;00:00:00;2268761;;;;;7;2;Kein Block;2;2;Technische Störung
C;03-0101-091-06-1;;Schaden an Weichenheizung DEig;A474;11.12.2018;13:06:29;11.12.2018;13:10:00;;00:00:00;2268682;215856;Ersetzt;;;6;2;Fahrleitungsschaden;;;
A;03-0101-006-09;;Baum auf Querdraht;A474;10.12.2018;12:40:11;09.12.2018;04:15:00;09.12.2018;06:15:00;2268578;215852;Weitere Aktionen;kein Fehler;;6;1;Entgleisung;;;
C;01-0902-2-001-01;W0106;Weichen Nr W0106 T1 beim Gpl Block brenn;A474;10.12.2018;21:34:39;11.12.2018;06:47:53;;00:00:00;2268608;215855;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1009;W1009 Schwarz;A474;10.12.2018;11:40:09;27.11.2018;22:00:00;27.11.2018;23:00:00;2268549;215850;;;;7;2;Kein Block;;;
C;01-0337-2-001-01;W2002;W2002 stellt trotz Blockbelegung um;A474;10.12.2018;10:14:53;10.12.2018;10:34:59;;00:00:00;2268547;215848;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0337-2-001-01;W2002;Weichenlicht W2002 Schwarz;A474;10.12.2018;11:04:18;08.12.2018;11:30:00;08.12.2018;12:30:00;2268548;215849;;;;7;7;Unbekannter Fehler;;;
C;01-0340-2-001-01;W0043;W0043 Weichenlicht Schwarz;A474;10.12.2018;11:44:24;27.11.2018;21:00:00;27.11.2018;22:00:00;2268570;215851;Gereinigt;;;7;2;Kein Block;;;
C;01-0340-2-001-01;W1016;W1016 Block bleibt hängen;A474;09.12.2018;07:15:46;10.12.2018;06:53:13;;00:00:00;2268486;215847;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0338-2-001-01;W2000;W2000 Block bleibt hängen;A474;09.12.2018;07:18:47;10.12.2018;06:53:33;;00:00:00;2268487;215846;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0903-2-001-01;W0211;W211 Block drin, kein Pfeil;A474;09.12.2018;08:49:20;10.12.2018;06:53:54;;00:00:00;2268489;215845;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;03-0103;;Deckel ab von Trafostation Brunnhof;A474;08.12.2018;11:15:38;10.12.2018;07:10:15;;00:00:00;2268452;;;;;5;17;unbekannter Fehler;2;5;Höhere Gewalt
C;01-0803-2-001-01;W2010;Weich 2010 fällt nicht in Endlage. Oberl;A474;08.12.2018;14:15:26;10.12.2018;06:46:08;;00:00:00;2268455;215844;;;;7;4;Keine Endlage;2;2;Technische Störung
C;03-0101-029-05;W2902;Weiche Wyler lässt sich nicht umstellen;A474;08.12.2018;16:57:00;10.12.2018;06:45:39;;00:00:00;2268456;215843;;;;6;4;Elektrische Störung;2;2;Technische Störung
C;03-0101-091-05;W9101;TB-Weichelicht schwarz,Mattenhof/Ziegler;A474;08.12.2018;05:31:06;10.12.2018;06:50:23;;00:00:00;2268433;215842;;;;6;4;Elektrische Störung;2;2;Technische Störung
B;03-0101-091-01-2;;OBL abgerissen Mattenhofstr./Zieglerstr.;A474;07.12.2018;06:04:44;07.12.2018;06:51:19;;00:00:00;2268378;215826;;;;6;2;Fahrleitungsschaden;2;6;Drittverschulden
D;03-0101-013-09;;Ballone im Querdraht;A474;06.12.2018;06:33:19;03.12.2018;15:00:00;04.12.2018;10:00:00;2268289;215819;;;;6;8;sonstiges;;;
C;03-0101-091-05;W9101;Weichenlicht schwarz;A474;06.12.2018;09:30:02;06.12.2018;09:31:50;;00:00:00;2268327;215824;;;;6;4;Elektrische Störung;2;2;Technische Störung
C;01-0340-2-001-01;W0043;"W0043 ""E"",musste stechen, Oberl. avis.";A474;06.12.2018;18:45:47;07.12.2018;05:55:16;;00:00:00;2268373;215827;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-9000-2-001-01;W4014;Weichenstörung DBo W4014;A474;06.12.2018;06:40:40;03.12.2018;07:30:00;03.12.2018;10:00:00;2268290;215821;Gewartet;Weichenantrieb;;5;16;kein Fehler;;;
C;01-0303-2-001-01;W5100;Endlagenverlust W5100;A474;06.12.2018;06:27:45;03.12.2018;15:30:00;03.12.2018;16:30:00;2268287;215817;Gewartet;Weichenantrieb;;5;16;kein Fehler;;;
X;03-0101-013-01-1;FD1304;Prov. Mast Kornhausplatz;A474;03.12.2018;08:08:39;03.12.2018;00:00:00;;00:00:00;2269356;215919;;;;6;8;sonstiges;2;10;unbekannt /sonstiges
C;01-0303-2-001-01;W5102;Weiche 5102 und Signal Q62 gestört;A474;01.12.2018;08:38:06;03.12.2018;06:49:00;;00:00:00;2267877;;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
A;03-0101-090;;Blockiert kein Strom im Depot Bolligenst;A474;29.11.2018;09:47:02;29.11.2018;10:02:57;;00:00:00;2267760;215812;;;;6;4;Elektrische Störung;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1003;W1003 Block schwarz;A474;27.11.2018;10:34:28;27.11.2018;10:47:56;;00:00:00;2267624;215820;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0901-2-001-02;W3001;Weiche  01 und 06 am Gupl schwarz;A474;27.11.2018;19:11:04;28.11.2018;07:04:55;;00:00:00;2267649;215811;;;;7;2;Kein Block;2;2;Technische Störung
B;01-0340-2-001-01;W0043;W43+49 stellen sich von alleine Rtg.BÄPL;A474;26.11.2018;06:40:17;26.11.2018;06:45:42;;00:00:00;2267457;;;;;7;2;Kein Block;2;2;Technische Störung
X;1;;Tr-Weichenlichter anpassen;A474;20.11.2018;06:54:11;19.11.2018;07:00:00;;00:00:00;2267054;215786;Programmiert;;;6;8;sonstiges;2;10;unbekannt /sonstiges
C;01-0337-2-001-01;W2005;Weiche 2005 bleibt schwarz;A474;16.11.2018;14:42:59;16.11.2018;14:49:06;;00:00:00;2266848;215770;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 stellt nicht für Linie 9;A474;13.11.2018;08:10:59;12.11.2018;21:15:00;12.11.2018;22:15:00;2266539;215766;;;;7;7;Unbekannter Fehler;;;
A;03-0101-025-01-2;;Kraneinsatz Kramgasse;A474;09.11.2018;08:24:56;08.11.2018;14:00:00;08.11.2018;18:00:00;2266320;215752;Weitere Aktionen;Mithilfe Feuerwehr;;6;3;Fremdeinwirkungen;;;
C;03-0101-011-05;W1105;Entgleisung Bubenbergplatz;A474;09.11.2018;07:34:32;09.11.2018;07:39:57;;00:00:00;2266314;215765;;;;6;1;Entgleisung;2;2;Technische Störung
C;01-9001-2-001-01;HNSA600/1;DEig: W500 kontrolliert;A474;09.11.2018;08:23:35;07.11.2018;20:00:00;08.11.2018;12:00:00;2266309;215751;;;;5;15;Ausserhalb Toleranz;;;
C;01-0340-2-001-01;W1016;Weiche 1016 schwarz;A474;07.11.2018;05:31:06;07.11.2018;06:33:59;;00:00:00;2266113;;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1016;W1016, Weichelicht schwarz:Oberl. avis.;A474;06.11.2018;13:53:46;06.11.2018;14:02:02;;00:00:00;2266089;215749;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0337-2-001-01;W2002;Weiche 2002 gestochen, keine Blockbeleg;A474;05.11.2018;14:15:20;05.11.2018;14:17:16;;00:00:00;2265962;215747;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0337-2-001-01;W2005;Weiche 2005 hinter 8/8 oft falsch;A474;05.11.2018;15:31:20;05.11.2018;15:33:58;;00:00:00;2265967;215746;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0903-2-001-01;W0211;Weiche 211 gestochen (Friedheim);A474;05.11.2018;06:59:58;05.11.2018;07:01:11;;00:00:00;2265914;215745;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-026-01-2;;Oberleitung Klee Buck im Fahrdraht;A474;01.11.2018;16:03:08;01.11.2018;16:33:42;;00:00:00;2265780;;;;;6;2;Fahrleitungsschaden;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1000;W1000 OBLT aufgeboten;A474;31.10.2018;07:09:49;31.10.2018;07:12:15;;00:00:00;2265600;;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1000;Weiche 1000 deblockiert nicht;A474;30.10.2018;16:15:57;30.10.2018;16:46:37;;00:00:00;2265583;;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-9001-2-001-01;HNSA600/1;DEig: Diverse Weichen ohne Endlage;A474;30.10.2018;08:16:19;30.10.2018;06:00:00;30.10.2018;08:00:00;2265535;215733;Eingestellt;;;5;15;Ausserhalb Toleranz;;;
C;01-0340-2-001-01;W0049;Weiche 0049 schwarz;A474;29.10.2018;06:52:23;29.10.2018;07:02:32;29.10.2018;08:30:00;2265412;215723;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W0049;W49  schwarz Oberl avis.;A474;29.10.2018;14:59:32;29.10.2018;15:08:06;;00:00:00;2265482;;;;;7;2;Kein Block;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/1;DBo: SB 1 ausgefallen;A474;29.10.2018;08:53:44;25.10.2018;16:00:00;25.10.2018;17:00:00;2265403;215724;Gewartet;Weichensteuerung;;5;16;kein Fehler;;;
C;01-0340-2-001-01;W1004;W1004 Weichenlicht schwarz;A474;27.10.2018;14:53:43;27.10.2018;15:24:04;27.10.2018;19:00:00;2265329;215722;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0703-2-001-01;W2006;Weichenlicht T1 T2 defekt;A474;26.10.2018;11:54:11;27.10.2018;12:00:00;27.10.2018;14:00:00;2265295;215721;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
B;03-0101-027-01-2;;1 Paar Schuhe an Oberleitung/Entgleisung;A474;24.10.2018;22:47:55;25.10.2018;06:40:18;;00:00:00;2265129;215717;;;;6;1;Entgleisung;2;1;Vandalenschaden
C;01-0339-2-001-01;W0185;Weiche von Hand gestellt.;A474;24.10.2018;06:50:35;24.10.2018;06:51:51;;00:00:00;2265034;215716;;;;7;3;Von Hand gestellt;2;2;Technische Störung
D;03-0101-012-09;;Schuhe in Abspannung bei HG Kirche;A474;23.10.2018;07:15:57;21.10.2018;17:00:00;22.10.2018;12:00:00;2264967;215713;;;;6;3;Fremdeinwirkungen;2;1;Vandalenschaden
C;01-0340-2-001-01;W0049;W49 dunkel;A474;22.10.2018;05:21:43;22.10.2018;06:46:39;;00:00:00;2264871;215708;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W0049;Weichenlicht schwarz;A474;22.10.2018;17:33:46;23.10.2018;06:36:41;;00:00:00;2264944;215714;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1009;W1009 stellt selber nach Wallgasse;A474;18.10.2018;14:49:25;18.10.2018;15:06:37;;00:00:00;2264736;215703;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1012;Wallgasse T1+T2 nur Block brennt;A474;18.10.2018;10:42:37;18.10.2018;10:47:45;;00:00:00;2264690;215700;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0901-2-001-01;W3000;Weiche 3000 Blockbelegung;A474;18.10.2018;15:46:14;18.10.2018;15:51:27;;00:00:00;2264739;215704;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
A;03-0101-011-01-1;;FL Schaden Bubenbergplatz;A474;17.10.2018;06:45:18;16.10.2018;15:20:00;16.10.2018;20:30:00;2264594;215695;Ausgetauscht;FLachprofil ersetzt;;6;2;Fahrleitungsschaden;2;4;Fehlmanipulation
A;03-0101-011-01-1;;FDA meldet kein  Strom um 15:20 Uhr;A474;16.10.2018;19:24:41;17.10.2018;06:38:22;;00:00:00;2264582;;;;;6;2;Fahrleitungsschaden;2;6;Drittverschulden
C;01-0341-2-001-01;EXW0101;W0101 Block bleibt drin;A474;16.10.2018;07:57:20;16.10.2018;08:02:34;;00:00:00;2264529;215693;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0341-2-001-01;EXW0101;Weiche 101 Casinoplatz Blockbelegung;A474;15.10.2018;09:12:47;15.10.2018;09:23:17;;00:00:00;2264300;215690;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
X;03-0101-090-14;AP9001;Wartung Achskurzschluss-Prüfanlage;A474;15.10.2018;08:52:04;;00:00:00;;00:00:00;2264297;215581;Gewartet;Achskurzschluss-Prüfanlage;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen;A474;09.10.2018;09:55:56;09.10.2018;10:55:56;;00:00:00;2263978;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1014;Weiche 1014 gestochen;A474;08.10.2018;21:24:09;09.10.2018;07:31:28;;00:00:00;2263955;;;;;7;3;Von Hand gestellt;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1003;Weiche 1003 schwarz;A474;08.10.2018;18:50:57;09.10.2018;07:31:02;;00:00:00;2263952;215565;;;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen;A474;05.10.2018;07:56:43;05.10.2018;08:16:04;;00:00:00;2263768;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
D;03-0101-012-05;W1205;Tb- Weiche 1205: Abdeckung fehlte;A474;05.10.2018;06:48:53;01.10.2018;07:00:00;01.10.2018;12:00:00;2263764;215554;Revidiert;Weichenanlage rev.;;6;1;Entgleisung;;;
B;01-0340-2-001-01;W1003;Weiche 1003 schwarz / schwarz;A474;04.10.2018;13:26:38;04.10.2018;13:43:28;;00:00:00;2263715;;;;;7;2;Kein Block;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen;A474;03.10.2018;10:08:28;03.10.2018;10:25:22;;00:00:00;2263623;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
X;01-0340-2-001-01;W0049;Weiche0049 Wartung Weichenantrieb;A474;02.10.2018;14:43:09;;00:00:00;;00:00:00;2263537;215547;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0002;STW0002 Wartung Weichenantrieb;A474;02.10.2018;14:42:12;;00:00:00;;00:00:00;2263534;215545;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0003;STW0003 Wartung Weichenantrieb;A474;02.10.2018;14:42:42;;00:00:00;;00:00:00;2263536;215546;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-01;EXSTW0007;STW0007 Wartung Weichenantrieb;A474;02.10.2018;14:43:41;;00:00:00;;00:00:00;2263538;215548;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0341-2-001-01;EXSTW0008;STW0008 Wartung Weichenantrieb;A474;02.10.2018;14:44:09;;00:00:00;;00:00:00;2263539;215549;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0039;STW0039 Wartung Weichenantrieb;A474;02.10.2018;14:37:11;;00:00:00;;00:00:00;2263525;215536;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0042;STW0042 Wartung Weichenantrieb;A474;02.10.2018;14:38:20;;00:00:00;;00:00:00;2263526;215537;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0043;STW0043 Wartung Weichenantrieb;A474;02.10.2018;14:38:51;;00:00:00;;00:00:00;2263527;215538;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0045;STW0045 Wartung Weichenantrieb;A474;02.10.2018;14:39:19;;00:00:00;;00:00:00;2263528;215539;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0048;STW0048 Wartung Weichenantrieb;A474;02.10.2018;14:39:47;;00:00:00;;00:00:00;2263529;215540;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0049;STW0049 Wartung Weichenantrieb;A474;02.10.2018;14:40:16;;00:00:00;;00:00:00;2263530;215541;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0051;STW0051 Wartung Weichenantrieb;A474;02.10.2018;14:40:44;;00:00:00;;00:00:00;2263531;215542;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0053;STW0053 Wartung Weichenantrieb;A474;02.10.2018;14:41:12;;00:00:00;;00:00:00;2263532;215543;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0055;STW0055 Wartung Weichenantrieb;A474;02.10.2018;14:41:41;;00:00:00;;00:00:00;2263533;215544;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;01.10.2018;17:19:48;02.10.2018;06:51:23;;00:00:00;2263360;215552;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1003;Weichenlicht 1003 schwarz;A474;01.10.2018;06:07:07;01.10.2018;07:15:42;;00:00:00;2263269;215534;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen.;A474;28.09.2018;16:17:23;28.09.2018;16:18:19;;00:00:00;2263185;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1014;Weiche 1014 gestochen;A474;28.09.2018;21:29:57;01.10.2018;07:21:59;;00:00:00;2263202;;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-011-05;W1102;Hi'graben Weiche - HB fällt falsch;A474;28.09.2018;06:09:16;28.09.2018;06:39:15;;00:00:00;2263127;;;;;6;4;Elektrische Störung;2;2;Technische Störung
C;03-0101-004-01-1;;Bäume verdecken Signal;A474;26.09.2018;12:23:03;26.09.2018;12:27:08;;00:00:00;2262968;202141;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;01-0803-2-001-01;W2010;keine Anmeldung auf LSA durch Weichenste;A474;25.09.2018;12:16:16;25.09.2018;12:29:50;;00:00:00;2262902;215527;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0903-2-001-01;W0211;Friedheim: Weichenlicht schwarz;A474;25.09.2018;14:37:44;25.09.2018;14:45:22;;00:00:00;2262906;215528;;;;7;2;Kein Block;2;2;Technische Störung
C;03-0101-012-01-2;;Pol. meldet Plastik auf Oberl.;A474;24.09.2018;19:07:38;25.09.2018;06:35:07;;00:00:00;2262882;215526;;;;6;3;Fremdeinwirkungen;2;1;Vandalenschaden
C;03-0101-022-01-2;;Fahrleitungsschaden nach Sturm;A474;24.09.2018;10:13:32;23.09.2018;12:00:00;;00:00:00;2262834;215525;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;01-0903-2-001-01;W0211;kein Weichenpfeil;A474;24.09.2018;07:36:57;24.09.2018;07:46:14;;00:00:00;2262817;215524;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W 1010 musste gestochen werden;A474;22.09.2018;12:30:06;24.09.2018;06:42:18;;00:00:00;2262756;;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
